,MovieID,RatingSum,RatingCount,WeightedRatingSum,InputGenre
0,260,13321,2991,4348,Action
1,1196,12836,2990,3866,Action
2,1198,11257,2514,3715,Action
3,2028,11507,2653,3548,Action
4,2571,11178,2590,3408,Action
5,858,10059,2223,3390,Action
6,1197,9976,2318,3022,Action
7,110,10346,2443,3017,Action
8,1210,11598,2883,2949,Action
9,589,10751,2649,2804,Action
10,1240,8711,2098,2417,Action
11,1214,8419,2024,2347,Action
12,1221,7373,1692,2297,Action
13,457,8186,1995,2201,Action
14,3578,7900,1924,2128,Action
15,1200,7509,1820,2049,Action
16,480,10057,2672,2041,Action
17,1580,9492,2538,1878,Action
18,1036,6867,1666,1869,Action
19,1387,6940,1697,1849,Action
20,1291,6729,1628,1845,Action
21,1610,6694,1652,1738,Action
22,1304,5982,1419,1725,Action
23,2000,6324,1627,1443,Action
24,1222,5155,1254,1393,Action
25,2916,7350,1996,1362,Action
26,1242,4663,1112,1327,Action
27,969,4494,1057,1323,Action
28,2692,4529,1072,1313,Action
29,1233,4307,1001,1304,Action
30,1374,5619,1448,1275,Action
31,1220,5283,1341,1260,Action
32,3793,5773,1511,1240,Action
33,1127,6318,1715,1173,Action
34,2194,4517,1127,1136,Action
35,1954,4452,1129,1065,Action
36,2019,2864,628,980,Action
37,733,4989,1340,969,Action
38,3418,5215,1417,964,Action
39,1953,3529,861,946,Action
40,377,5883,1650,933,Action
41,1201,3398,822,932,Action
42,1356,4859,1310,929,Action
43,2406,4962,1345,927,Action
44,3753,4644,1240,924,Action
45,2628,7672,2250,922,Action
46,380,5088,1400,888,Action
47,780,6073,1730,883,Action
48,1527,5013,1377,882,Action
49,2947,3562,897,871,Action
50,592,5153,1431,860,Action
51,3527,4739,1297,848,Action
52,21,4914,1356,846,Action
53,2529,4314,1162,828,Action
54,6,3646,940,826,Action
55,474,3718,972,802,Action
56,1408,3718,975,793,Action
57,3256,3945,1052,789,Action
58,1287,2894,704,782,Action
59,349,3946,1059,769,Action
60,2115,4143,1127,762,Action
61,1215,3595,945,760,Action
62,1376,4117,1126,739,Action
63,1912,3448,908,724,Action
64,2944,2831,707,710,Action
